"","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory.Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils"
"IGSF6",5.5567744057837,6.15788586598238,6.04478634115819,4.8124321103931,5.36372111785775,5.63548848173381,5.195525766064,4.85485720211222,5.85210799199553,7.11682186591682,6.66233798135006,6.23677026319806,11.3789130602589,12.5692818556918,8.2098062422312,10.6684885085657,11.8457790283167,10.267439482928,7.29765260624031,8.52213101131589,7.95241801409798,12.0443012944526
"PDCD1LG2",4.18959191602254,3.67978451235451,3.72346972104912,3.78711863794596,4.00952056296124,3.58913362630618,3.94641903497126,3.19338570807703,6.26603748618252,4.05901979644028,4.52425692615593,3.79912218943797,3.90861119680401,5.80851596594429,8.81337836755112,8.42810640524666,6.87496900218754,9.67028406917075,3.4567728790904,4.28090823729573,6.19202885752918,4.56225212093115
"TREM1",8.70123755199886,7.89261513081682,7.72863365623857,6.69050715918919,6.88064036442872,6.09800880525682,6.17524004075208,6.67925967546036,6.07682132742415,9.16959810105857,6.33730846873942,6.59630107064664,10.7945693224364,9.24052036787348,7.61268775220994,7.53643988159456,7.80501774013057,8.31644132869823,8.16187530506827,9.4235513378482,8.56589975405229,13.0420507975335
"BMP2K",8.14623528824692,7.76443182940574,6.7259201628066,6.89196896373867,6.78539499069708,5.42857382316003,7.20630997443443,7.81578370356499,6.29132702253049,6.90469807537401,6.75545628208633,6.88509070227596,8.45775456831242,8.3424631270243,9.35850160269228,9.92600483339817,8.74374436702781,9.27952220578825,11.463413062807,11.2726041381324,9.81576466675027,9.2043358775022
"COLQ",4.89980382412783,4.82772372079426,4.61781449553662,7.26466862351027,6.08428390838283,7.09091316686422,5.21673402484684,5.62452761153965,7.36416292017003,8.68390519037125,8.67089361611992,8.45949843436327,5.12233339340581,4.6915840470245,6.44594567952286,7.01297412422297,5.02676361534457,4.40509324312139,5.71900158810117,5.2438270944083,4.83315536212423,5.37379262497879
"KLRB1",6.91375971075408,7.92080091519844,5.33533588929278,13.1064434005206,8.31544683823438,13.2916368574442,8.97065079587974,12.1288738289641,10.3003486486858,13.6252078772598,13.6615991279215,12.4454609109386,6.5116931709756,4.79103871530159,5.10429762264287,3.85921651728965,6.58193567714006,5.24800848926402,5.2663012777528,6.19254618510601,8.11603053379925,8.33813897468649
"CEACAM8",6.30226709617383,6.45757073706742,4.56947802902025,7.17816735087421,3.05062248035686,6.2236375943253,5.18144042949306,2.52795741454582,5.33472381213109,4.06830932900573,9.90247713218186,7.34965355158513,2.93558139788847,2.60737567598516,3.91711975675578,3.66192643994712,3.92491935834847,4.32554701564561,11.220393913071,10.8425145302108,7.88426495285043,7.23713679382196
"DUSP2",3.83776940987059,7.13211300416968,5.05918941742878,11.9960991402502,8.31748954308763,10.9704129937456,11.1757675027512,11.1682077901711,8.32525189378904,12.1664956643049,8.95190534048928,8.27107320106227,8.66496410630967,8.94082578116277,9.15143173524464,8.03614610820345,8.19632513248316,9.07063483673634,5.35418579280659,9.56922919521311,9.98629396895953,6.48814617900117
"CD40",10.5453000154168,10.3764153342428,9.71319582307574,7.67282947900769,6.91653775346016,7.40902876319407,7.41204583255401,7.02804346614416,8.40794814152199,8.07895903877124,7.36773717470341,7.68514371049764,8.2267652731553,10.1643936959158,13.66262451216,9.33234811669824,10.6433223614841,12.2715515256598,6.81635692630181,8.70411019789939,7.67987423498824,8.1116196155912
"KIR3DL2",3.72745875965702,3.53345433714856,3.10362156515782,4.52734504214433,3.92285173875288,3.35769945022822,3.82423816466106,3.44975250075599,4.95564947329599,7.75148347868422,9.000826947934,10.1860092000887,3.63097977089731,3.40720122349022,4.85875008384269,3.88437853749928,3.54119044193056,3.41109330393946,4.18588399943768,3.97493606026728,3.87208208638884,4.3936663555301
"TRAT1",3.86638429061172,4.08619613202023,4.20188057542445,9.67550073635001,11.1849748872909,11.3327968788206,10.6594049869227,10.480489994394,8.81152289635954,10.4884165375074,4.72178010695494,5.39864063870961,2.97193855194022,3.84194922371541,2.87166589871328,2.39879412976117,3.54251265863917,4.92110619608936,5.11234715716393,5.19138373697392,7.60028626372578,3.50871946698966
